"Name","Location","Function Signature","Function Size"
"entry","00401000","undefined entry(void)","10"
"FUN_00401010","00401010","undefined FUN_00401010(uint param_1)","23"
"FUN_00401030","00401030","undefined FUN_00401030(int param_1)","27"
"FUN_00401050","00401050","undefined4 FUN_00401050(uint param_1)","25"
"FUN_00401070","00401070","undefined FUN_00401070(undefined4 * param_1)","30"
"FUN_00401090","00401090","undefined4 FUN_00401090(void * this\, uint param_1\, int param_2\, undefined4 param_3\, undefined4 param_4)","83"
"FUN_00401100","00401100","undefined FUN_00401100(int * param_1)","73"
"FUN_00401160","00401160","undefined4 FUN_00401160(void * param_1)","27"
"FUN_00401180","00401180","void * FUN_00401180(void * param_1\, undefined4 * param_2)","47"
"FUN_004011b0","004011b0","int FUN_004011b0(undefined4 * param_1\, undefined4 * param_2)","29"
"FUN_004011d0","004011d0","undefined FUN_004011d0(int param_1)","56"
"FUN_00401210","00401210","undefined FUN_00401210(void)","306"
"FUN_00401350","00401350","undefined FUN_00401350(void)","195"
"FUN_00401420","00401420","undefined4 FUN_00401420(void)","157"
"FUN_004014c0","004014c0","undefined FUN_004014c0(void)","212"
"FUN_004015a0","004015a0","undefined4 FUN_004015a0(undefined4 param_1\, undefined4 param_2\, char * param_3)","37"
"FUN_004015d0","004015d0","undefined4 FUN_004015d0(undefined4 param_1\, undefined4 param_2\, char * param_3)","67"
"FUN_00401620","00401620","undefined4 FUN_00401620(undefined4 param_1\, undefined4 param_2\, char * param_3)","67"
"FUN_00401670","00401670","undefined FUN_00401670(void)","268"
"FUN_00401790","00401790","undefined4 FUN_00401790(undefined4 param_1\, undefined4 param_2\, char * param_3)","57"
"FUN_004017d0","004017d0","undefined4 FUN_004017d0(undefined4 param_1\, undefined4 param_2\, char * param_3)","57"
"FUN_00401810","00401810","undefined FUN_00401810(void)","171"
"FUN_004018c0","004018c0","undefined FUN_004018c0(int param_1)","341"
"FUN_00401a20","00401a20","undefined4 FUN_00401a20(undefined4 param_1\, undefined4 param_2\, int param_3)","32"
"FUN_00401a40","00401a40","undefined4 FUN_00401a40(undefined4 param_1\, undefined4 param_2\, char * param_3)","69"
"FUN_00401a90","00401a90","undefined4 FUN_00401a90(undefined4 param_1\, undefined4 param_2\, char * param_3)","69"
"FUN_00401b00","00401b00","undefined4 FUN_00401b00(undefined4 param_1\, undefined4 param_2\, char * param_3)","19"
"FUN_00401b20","00401b20","undefined4 FUN_00401b20(undefined4 param_1\, undefined4 param_2\, char * param_3)","25"
"FUN_00401b40","00401b40","undefined FUN_00401b40(void)","34"
"FUN_00401b70","00401b70","undefined FUN_00401b70(void)","28"
"FUN_00401b90","00401b90","undefined FUN_00401b90(void)","8"
"FUN_00401bc0","00401bc0","undefined4 FUN_00401bc0(undefined4 param_1\, int param_2)","164"
"FUN_00401c80","00401c80","undefined4 FUN_00401c80(undefined4 param_1\, undefined4 param_2\, char * param_3)","135"
"FUN_00401d10","00401d10","undefined4 FUN_00401d10(undefined4 param_1\, undefined4 param_2\, char * param_3)","62"
"FUN_00401d50","00401d50","undefined FUN_00401d50(undefined4 param_1\, undefined4 param_2\, char * param_3)","110"
"FUN_00401dc0","00401dc0","undefined4 FUN_00401dc0(undefined4 param_1\, undefined4 param_2\, char * param_3)","81"
"FUN_00401e20","00401e20","undefined4 FUN_00401e20(undefined4 param_1\, undefined4 param_2\, char * param_3)","85"
"FUN_00401e80","00401e80","undefined4 FUN_00401e80(undefined4 param_1\, undefined4 param_2\, char * param_3)","85"
"FUN_00401ee0","00401ee0","undefined FUN_00401ee0(void)","170"
"FUN_00401f90","00401f90","bool FUN_00401f90(undefined4 param_1\, undefined4 param_2\, char * param_3)","20"
"FUN_00401fb0","00401fb0","undefined4 FUN_00401fb0(undefined4 param_1\, undefined4 param_2\, char * param_3)","25"
