address,ghidra_name,friendly_name,category,signature,calling_convention,size,status,confidence,danger_level,description,evidence,source,test_notes,hit_count,last_test
0x00401000,entry,entry,Unknown,undefined entry(void),,10,UNKNOWN,LOW,INSTRUMENT_ONLY,,,Ghidra Functions.csv,,0,
0x00401010,FUN_00401010,,Unknown,undefined FUN_00401010(uint param_1),,23,UNKNOWN,LOW,INSTRUMENT_ONLY,,,Ghidra Functions.csv,,0,
0x00401030,FUN_00401030,,Unknown,undefined FUN_00401030(int param_1),,27,UNKNOWN,LOW,INSTRUMENT_ONLY,,,Ghidra Functions.csv,,0,
0x00401050,FUN_00401050,,Unknown,undefined4 FUN_00401050(uint param_1),,25,UNKNOWN,LOW,INSTRUMENT_ONLY,,,Ghidra Functions.csv,,0,
0x00401070,FUN_00401070,,Unknown,undefined FUN_00401070(undefined4 * param_1),,30,UNKNOWN,LOW,INSTRUMENT_ONLY,,,Ghidra Functions.csv,,0,
0x00401090,FUN_00401090,,Unknown,"undefined4 FUN_00401090(void * this\, uint param_1\, int param_2\, undefined4 param_3\, undefined4 param_4)",,83,UNKNOWN,LOW,INSTRUMENT_ONLY,,,Ghidra Functions.csv,,0,
0x00401100,FUN_00401100,,Unknown,undefined FUN_00401100(int * param_1),,73,UNKNOWN,LOW,INSTRUMENT_ONLY,,,Ghidra Functions.csv,,0,
0x00401160,FUN_00401160,,Unknown,undefined4 FUN_00401160(void * param_1),,27,UNKNOWN,LOW,INSTRUMENT_ONLY,,,Ghidra Functions.csv,,0,
0x00401180,FUN_00401180,,Unknown,"void * FUN_00401180(void * param_1\, undefined4 * param_2)",,47,UNKNOWN,LOW,INSTRUMENT_ONLY,,,Ghidra Functions.csv,,0,
0x004011B0,FUN_004011b0,,Unknown,"int FUN_004011b0(undefined4 * param_1\, undefined4 * param_2)",,29,UNKNOWN,LOW,INSTRUMENT_ONLY,,,Ghidra Functions.csv,,0,
0x004011D0,FUN_004011d0,,Unknown,undefined FUN_004011d0(int param_1),,56,UNKNOWN,LOW,INSTRUMENT_ONLY,,,Ghidra Functions.csv,,0,
