address,ghidra_name,friendly_name,category,signature,calling_convention,size,status,confidence,danger_level,description,evidence,source,test_notes,hit_count,last_test
0x007059B0,FUN_007059b0,FrameScriptRegisterFunction,Lua,"undefined FUN_007059b0(byte * param_1\, undefined4 param_2)",,58,VERIFIED,CONFIRMED,INSTRUMENT_ONLY,,ClientOffsets_8606.hpp / commit 641d799,Ghidra Functions.csv,,0,
0x0072DAE0,FUN_0072dae0,LuaGetTop,Lua,int FUN_0072dae0(int param_1),,17,VERIFIED,CONFIRMED,INSTRUMENT_ONLY,,ClientOffsets_8606.hpp / commit 641d799,Ghidra Functions.csv,,0,
0x0072DB00,FUN_0072db00,LuaSetTop,Lua,"undefined FUN_0072db00(int param_1\, int param_2)",,89,VERIFIED,CONFIRMED,INSTRUMENT_ONLY,,ClientOffsets_8606.hpp / commit 641d799,Ghidra Functions.csv,,0,
0x0072DDC0,FUN_0072ddc0,LuaType,Lua,undefined4 FUN_0072ddc0(int param_1),,31,VERIFIED,CONFIRMED,INSTRUMENT_ONLY,,ClientOffsets_8606.hpp / commit 641d799,Ghidra Functions.csv,,0,
0x0072DE30,FUN_0072de30,LuaIsNumber,Lua,undefined4 FUN_0072de30(int param_1),,53,VERIFIED,CONFIRMED,INSTRUMENT_ONLY,,ClientOffsets_8606.hpp / commit 641d799,Ghidra Functions.csv,,0,
0x0072DE70,FUN_0072de70,LuaIsString,Lua,undefined4 FUN_0072de70(int param_1),,40,VERIFIED,CONFIRMED,INSTRUMENT_ONLY,,ClientOffsets_8606.hpp / commit 641d799,Ghidra Functions.csv,,0,
0x0072DF40,FUN_0072df40,LuaToNumber,Lua,float10 FUN_0072df40(int param_1),,52,VERIFIED,CONFIRMED,INSTRUMENT_ONLY,,ClientOffsets_8606.hpp / commit 641d799,Ghidra Functions.csv,,0,
0x0072DFC0,FUN_0072dfc0,LuaToBoolean,Lua,undefined4 FUN_0072dfc0(int param_1),,42,VERIFIED,CONFIRMED,INSTRUMENT_ONLY,,ClientOffsets_8606.hpp / commit 641d799,Ghidra Functions.csv,,0,
0x0072DFF0,FUN_0072dff0,LuaToLString,Lua,"int FUN_0072dff0(int param_1\, undefined4 param_2\, undefined4 * param_3)",,111,VERIFIED,CONFIRMED,INSTRUMENT_ONLY,,ClientOffsets_8606.hpp / commit 641d799,Ghidra Functions.csv,,0,
0x0072E180,FUN_0072e180,LuaPushNil,Lua,undefined FUN_0072e180(int param_1),,31,VERIFIED,CONFIRMED,INSTRUMENT_ONLY,,ClientOffsets_8606.hpp / commit 641d799,Ghidra Functions.csv,,0,
0x0072E1A0,FUN_0072e1a0,LuaPushNumber,Lua,"undefined FUN_0072e1a0(int param_1\, undefined8 param_2)",,36,VERIFIED,CONFIRMED,INSTRUMENT_ONLY,,ClientOffsets_8606.hpp / commit 641d799,Ghidra Functions.csv,,0,
0x0072E250,FUN_0072e250,LuaPushString,Lua,"undefined FUN_0072e250(void * param_1\, byte * param_2)",,60,VERIFIED,CONFIRMED,INSTRUMENT_ONLY,,ClientOffsets_8606.hpp / commit 641d799,Ghidra Functions.csv,,0,
0x0072E2F0,FUN_0072e2f0,LuaPushCClosure,Lua,"undefined FUN_0072e2f0(int param_1\, undefined4 param_2\, int param_3)",,185,VERIFIED,CONFIRMED,INSTRUMENT_ONLY,,ClientOffsets_8606.hpp / commit 641d799,Ghidra Functions.csv,,0,
0x0072E3B0,FUN_0072e3b0,LuaPushBoolean,Lua,"undefined FUN_0072e3b0(int param_1\, int param_2)",,41,VERIFIED,CONFIRMED,INSTRUMENT_ONLY,,ClientOffsets_8606.hpp / commit 641d799,Ghidra Functions.csv,,0,
0x0072E550,FUN_0072e550,LuaGetField,Lua,"undefined FUN_0072e550(int param_1\, undefined4 param_2\, int param_3)",,109,VERIFIED,CONFIRMED,INSTRUMENT_ONLY,,ClientOffsets_8606.hpp / commit 641d799,Ghidra Functions.csv,,0,
0x0072E7E0,FUN_0072e7e0,LuaSetField,Lua,"undefined FUN_0072e7e0(void * param_1\, undefined4 param_2\, byte * param_3)",,101,VERIFIED,CONFIRMED,INSTRUMENT_ONLY,,ClientOffsets_8606.hpp / commit 641d799,Ghidra Functions.csv,,0,
0x0072F5C0,FUN_0072f5c0,LuaLError,Lua,"undefined FUN_0072f5c0(void * param_1\, char * param_2)",,49,VERIFIED,CONFIRMED,INSTRUMENT_ONLY,,ClientOffsets_8606.hpp / commit 641d799,Ghidra Functions.csv,,0,
