address,ghidra_name,friendly_name,category,signature,calling_convention,size,status,confidence,danger_level,description,evidence,test_notes,hit_count
,ABANDON_PET,ABANDON_PET,string,,,,UNKNOWN,LOW,SAFE_READ,Are you sure you want to permanently abandon your pet?,runtime _G scan,,0
,ABANDON_QUEST,ABANDON_QUEST,string,,,,UNKNOWN,LOW,SAFE_READ,Abandon Quest,runtime _G scan,,0
,ABANDON_QUEST_CONFIRM,ABANDON_QUEST_CONFIRM,string,,,,UNKNOWN,LOW,SAFE_READ,"Abandon ""%s""?",runtime _G scan,,0
,ABSORB_TRAILER,ABSORB_TRAILER,string,,,,UNKNOWN,LOW,SAFE_READ, (%d absorbed),runtime _G scan,,0
,ACCEPT,ACCEPT,string,,,,UNKNOWN,LOW,SAFE_READ,Accept,runtime _G scan,,0
,ACCEPT_ALT,ACCEPT_ALT,string,,,,UNKNOWN,LOW,SAFE_READ,Accept,runtime _G scan,,0
,ACE_CATEGORY_BATTLEGROUNDS,ACE_CATEGORY_BATTLEGROUNDS,string,,,,UNKNOWN,LOW,SAFE_READ,Battlegrounds,runtime _G scan,,0
,ACE_CATEGORY_CLASS,ACE_CATEGORY_CLASS,string,,,,UNKNOWN,LOW,SAFE_READ,Class Enhancement,runtime _G scan,,0
,ACE_CATEGORY_GUILD,ACE_CATEGORY_GUILD,string,,,,UNKNOWN,LOW,SAFE_READ,Guild,runtime _G scan,,0
,ACE_CATEGORY_INTERFACE,ACE_CATEGORY_INTERFACE,string,,,,UNKNOWN,LOW,SAFE_READ,Interface Enhancements,runtime _G scan,,0
,ACE_CATEGORY_OTHERS,ACE_CATEGORY_OTHERS,string,,,,UNKNOWN,LOW,SAFE_READ,Others,runtime _G scan,,0
,ACE_CATEGORY_RAID,ACE_CATEGORY_RAID,string,,,,UNKNOWN,LOW,SAFE_READ,Raid Assistance,runtime _G scan,,0
,ACE_CMD_ADDON_DISABLED,ACE_CMD_ADDON_DISABLED,string,,,,UNKNOWN,LOW,SAFE_READ,%s has been disabled but will remain loaded until you reload the game.,runtime _G scan,,0
,ACE_CMD_ADDON_DISABLED_ALL,ACE_CMD_ADDON_DISABLED_ALL,string,,,,UNKNOWN,LOW,SAFE_READ,All addons except Ace itself have been disabled but will remain loaded until you reload the game.,runtime _G scan,,0
,ACE_CMD_ADDON_ENABLED,ACE_CMD_ADDON_ENABLED,string,,,,UNKNOWN,LOW,SAFE_READ,%s has been enabled. You must reload the game to load this addon.,runtime _G scan,,0
,ACE_CMD_OPTIONS,ACE_CMD_OPTIONS,table,,,,UNKNOWN,LOW,SAFE_READ,Runtime pointer: 0x1E5B2DF8 | Pointer type: LUA_RUNTIME_POINTER | Stable: NO,runtime _G scan,,0
,ACE_CMD_OPT_STANDBY_DESC,ACE_CMD_OPT_STANDBY_DESC,string,,,,UNKNOWN,LOW,SAFE_READ,Toggle the addon's standby mode.,runtime _G scan,,0
,ACE_CMD_REPORT_LINE,ACE_CMD_REPORT_LINE,string,,,,UNKNOWN,LOW,SAFE_READ,%s [%s],runtime _G scan,,0
,ACE_CMD_RESULT,ACE_CMD_RESULT,string,,,,UNKNOWN,LOW,SAFE_READ,%s: %s,runtime _G scan,,0
,ACE_CMD_USAGE_OPT_CLOSE,ACE_CMD_USAGE_OPT_CLOSE,string,,,,UNKNOWN,LOW,SAFE_READ,],runtime _G scan,,0
,ACE_CMD_USAGE_OPT_OPEN,ACE_CMD_USAGE_OPT_OPEN,string,,,,UNKNOWN,LOW,SAFE_READ,[,runtime _G scan,,0
,ACE_INFO_HEADER,ACE_INFO_HEADER,string,,,,UNKNOWN,LOW,SAFE_READ,Ace Information,runtime _G scan,,0
,ACE_INFO_PROFILE_LOADED,ACE_INFO_PROFILE_LOADED,string,,,,UNKNOWN,LOW,SAFE_READ,Profile loaded,runtime _G scan,,0
,ACE_LOAD_MSG_SUMMARY,ACE_LOAD_MSG_SUMMARY,string,,,,UNKNOWN,LOW,SAFE_READ,"Ace Initialization Complete
Registered Ace applications: %s
Profile loaded: %s
Type /ace for more informati...",runtime _G scan,,0
,ACE_MAP_STANDBY,ACE_MAP_STANDBY,table,,,,UNKNOWN,LOW,SAFE_READ,Runtime pointer: 0x1E5B2DA8 | Pointer type: LUA_RUNTIME_POINTER | Stable: NO,runtime _G scan,,0
,ACE_NAME,ACE_NAME,string,,,,UNKNOWN,LOW,SAFE_READ,Ace,runtime _G scan,,0
,ACE_PROFILE_DEFAULT,ACE_PROFILE_DEFAULT,string,,,,UNKNOWN,LOW,SAFE_READ,default,runtime _G scan,,0
,ACE_PROFILE_LOADED_CHAR,ACE_PROFILE_LOADED_CHAR,string,,,,UNKNOWN,LOW,SAFE_READ,An individual profile has been loaded for %s.,runtime _G scan,,0
,ACE_TEXT_ACE_REGISTERED,ACE_TEXT_ACE_REGISTERED,string,,,,UNKNOWN,LOW,SAFE_READ,Registered Ace applications,runtime _G scan,,0
,ACE_TEXT_AUTHOR,ACE_TEXT_AUTHOR,string,,,,UNKNOWN,LOW,SAFE_READ,Author,runtime _G scan,,0
,ACE_TEXT_LOADMSG,ACE_TEXT_LOADMSG,string,,,,UNKNOWN,LOW,SAFE_READ,Startup load message type,runtime _G scan,,0
,ACE_TEXT_RELEASED,ACE_TEXT_RELEASED,string,,,,UNKNOWN,LOW,SAFE_READ,Released,runtime _G scan,,0
